model,fit_seconds,oob_score,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1
Hist Gradient Boosting,49.599525451660156,,0.9610294883817859,0.9610244963369965,0.9609776375327305,0.9609844584365225,0.7233333333333334,0.7233333333333334,0.7228157926074373,0.7228157926074371,0.7141666666666666,0.7141666666666667,0.7160287632129398,0.7160287632129397
Bagged Trees (correlated),56.08047842979431,0.6637490882567469,1.0,1.0,1.0,1.0,0.6525,0.6525,0.6466735030225111,0.6466735030225113,0.6491666666666667,0.6491666666666667,0.6472578472765548,0.6472578472765548
Random Forest (decorrelated),4.235243082046509,0.6441596332187142,1.0,1.0,1.0,1.0,0.6491666666666667,0.6491666666666667,0.6408968681888102,0.6408968681888102,0.6608333333333334,0.6608333333333334,0.6570896504646452,0.6570896504646453
Extra Trees (highly decorrelated),1.5255193710327148,,1.0,1.0,1.0,1.0,0.6283333333333333,0.6283333333333334,0.6192839325394609,0.6192839325394608,0.64,0.64,0.6360527960983137,0.6360527960983138
Single Decision Tree,2.2900736331939697,,0.918516202980098,0.9185387231815803,0.9183014838498007,0.9183093507802352,0.5066666666666667,0.5066666666666666,0.506487749214364,0.5064877492143641,0.5091666666666667,0.5091666666666667,0.5104930330435885,0.5104930330435884
Dummy: Most Frequent,0.02483987808227539,,0.06668750651245181,0.06666666666666667,0.00833577545504868,0.008338381199173421,0.06666666666666667,0.06666666666666667,0.008333333333333333,0.008333333333333333,0.06666666666666667,0.06666666666666667,0.008333333333333333,0.008333333333333333
