target,model,alpha,val_mae,val_r2,test_mae,test_r2,lasso_zeroed,lasso_kept
is_human_made,Ridge,0.1,0.2525840300490726,0.5968717072304698,0.2616609821850107,0.5760387889539655,,
is_human_made,Lasso,0.0001,0.25348235729989005,0.5964130981206861,0.26296877909253025,0.574135714387626,5.0,38.0
is_water_related,Ridge,0.1,0.24325285783093908,0.46773316430582657,0.2447064449712274,0.4539444070951971,,
is_water_related,Lasso,0.0001,0.2448717540766937,0.46210182968620295,0.2459843821944818,0.44654288857254054,4.0,39.0
is_vegetation_related,Ridge,100.0,0.20985648979174315,0.4577559531006403,0.20736225520176055,0.4600004337549385,,
is_vegetation_related,Lasso,0.001,0.20981253278404727,0.45434942198935657,0.20626466528507867,0.46075756427140924,14.0,29.0
urban_density_proxy,Ridge,1.0,0.5439427962159035,0.5910587067531161,0.5669409928852323,0.5693743181410176,,
urban_density_proxy,Lasso,0.0001,0.5440824089558954,0.5908914522911652,0.5669443014487606,0.5694658591988286,4.0,39.0
